No,Type1,Type2
2,Grass,Poison
3,Grass,Poison
12,Bug,Flying
13,Bug,Poison
14,Bug,Poison
15,Bug,Poison
16,Normal,Flying
17,Normal,Flying
18,Normal,Flying
21,Normal,Flying
22,Normal,Flying
31,Poison,Ground
34,Poison,Ground
39,Normal,Fairy
40,Normal,Fairy
41,Poison,Flying
42,Poison,Flying
43,Grass,Poison
44,Grass,Poison
45,Grass,Poison
46,Bug,Grass
47,Bug,Grass
48,Bug,Poison
49,Bug,Poison
62,Water,Fighting
69,Grass,Poison
70,Grass,Poison
71,Grass,Poison
72,Water,Poison
73,Water,Poison
74,Rock,Ground
75,Rock,Ground
76,Rock,Ground
79,Water,Psychic
80,Water,Psychic
81,Electric,Steel
82,Electric,Steel
83,Normal,Flying
84,Normal,Flying
85,Normal,Flying
87,Water,Ice
91,Water,Ice
92,Ghost,Poison
93,Ghost,Poison
94,Ghost,Poison
95,Rock,Ground
102,Grass,Psychic
103,Grass,Psychic
111,Ground,Rock
112,Ground,Rock
121,Water,Psychic
122,Psychic,Fairy
123,Bug,Flying
124,Ice,Psychic
130,Water,Flying
131,Water,Ice
138,Rock,Water
139,Rock,Water
140,Rock,Water
141,Rock,Water
142,Rock,Flying
144,Ice,Flying
145,Electric,Flying
146,Fire,Flying
149,Dragon,Flying
